Description ,country,Weather,Time of day,season,activity,mood,student_id
"A beautiful location in the Swiss countryside, chosen because I love green and scenic natural landscapes",Switzerland,Sunny,Morning,Not Clear,Relaxing,Happiness,1220523
"Beautiful Istanbul near Hagia Sophia, chosen because I love exploring historical landmarks",Turkey,Sunny,Morning,Spring,Sightseeing,Excitement,1220523
"The pyramids in Egypt are an incredible architectural masterpiece, and I chose this place because I would love to see it in real life.",Egypt,Sunny,Afternoon,Summer,Sightseeing,Excitement,1220523
"Al-Andalus is a place with a rich and beautiful history for Muslims, which is why I chose it.",Spain,Not Clear,Evening,Summer,Sightseeing,Nostalgia,1220523
"Al-Aqsa Mosque in Jerusalem is a sacred place, and I chose it because I truly wish to visit it one day and pray there.",Palestine,Sunny,Afternoon,Spring,Sightseeing,Nostalgia,1220523
"The Eiffel Tower truly captures my attention, which is why I chose this destination.",France,Sunny,Afternoon,Spring,Sightseeing,Excitement,1220523
"Dubai showcases the beauty of modern architectural design, which is why I chose this destination.",UAE,Sunny,Afternoon,Winter,Relaxing,Excitement,1220523
"I chose this place because I would love to experience the activities in Thailand, especially riding a boat.",Thailand,Sunny,Morning,Not Clear,Hiking,Adventure,1220523
I chose Greece because I would love to explore its historical landmarks and enjoy its stunning natural scenery.,Greece,Sunny,Morning,Spring,Sightseeing,Happiness,1220523
"I chose Japan because it has been a dream of mine since childhood, and I wish to visit it to see its traditional homes.",Japan,Sunny,Morning,Spring,Relaxing,Happiness,1220523
