Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"A clear image of the Dome of the Rock in Jerusalem, showcasing its iconic golden dome. It is one of the most important Islamic and historical landmarks in Palestine.",Palestine,Sunny,Afternoon,Summer,Sightseeing,Nostalgia,1161937
"a clear image of the Ibrahimi Mosque (Cave of the Patriarchs) in Hebron, one of the oldest and most significant religious and historical sites in Palestine.",Palestine,Sunny,Morning,Spring,Sightseeing,Curiosity,1161937
"A clear image of the ancient ruins in Sebastia near Nablus, showing stone columns and archaeological remains from the Roman period under a bright blue sky.",Palestine,Sunny,Afternoon,Summer,Exploring,Adventure,1161937
"A clear image of Mar Saba Monastery in Bethlehem, built dramatically along the cliffside of the desert valley, showcasing its ancient stone architecture.",Palestine,Sunny,Afternoon,Summer,Sightseeing,Awe,1161937
"A clear aerial view of Tell es-Sultan in Jericho, showing the archaeological mound, excavation areas, and surrounding desert landscape.",Palestine,Sunny,Morning,Spring,Exploring,Curiosity,1161937
"A night view of the Eiffel Tower illuminated in golden lights against a dark blue sky, highlighting its detailed iron structure from a low-angle perspective.",France,Not Clear,Afternoon,Not Clear,Sightseeing,Romance,1161937
A bright and clear view of the Great Wall of China stretching across lush green mountains under a blue sky with scattered white clouds.,China,Sunny,Morning,Summer,Hiking,Adventure,1161937
"A beautiful sunset view in Santorini, Greece, showing cliffside caf�s overlooking the sea and islands, with soft pastel colors in the sky.",Greece,Clear,Evening,Summer,Relaxing,Happiness,1161937
"A stunning nighttime panorama of New York City�s skyline, with illuminated skyscrapers reflecting beautifully on the water.",USA,Clear,Evening,Winter,Sightseeing,Excitement,1161937
"A bright and peaceful beach view in the Maldives, showing crystal-clear turquoise water, white sand, and lush tropical trees, with a wooden walkway leading to the island.",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness,1161937
Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,Japan,Sunny,Morning,Spring,Hiking,Nostalgia,1181804
White buildings with blue domes overlooking the calm Aegean Sea.,Greece,Sunny,Afternoon,Summer,Relaxing,Happiness,1181804
The ancient Incan citadel set high in the Andes Mountains.,Peru,Cloudy,Morning,Not Clear,Sightseeing,Adventure,1181804
The turquoise waters of Moraine Lake surrounded by snowy peaks.,Canada,Sunny,Afternoon,Summer,Hiking,Excitement,1181804
Elephants walking through the tall grass of the savanna.,Tanzania,Sunny,Afternoon,Fall,Sightseeing,Curiosity,1181804
The bright neon lights and crowds of Times Square.,USA,Not Clear,Evening,Winter,Sightseeing,Excitement,1181804
Vibrant coral reefs teeming with underwater life.,Australia,Sunny,Morning,Summer,Swimming,Curiosity,1181804
Green aurora borealis dancing over a snowy landscape.,Iceland,Snowy,Evening,Winter,Relaxing,Melancholy,1181804
The famous Treasury carved into the red sandstone rock face.,Jordan,Sunny,Afternoon,Spring,Hiking,Adventure,1181804
Colorful houses stacked on the steep cliffs of Positano.,Italy,Sunny,Afternoon,Summer,Relaxing,Romance,1181804
