Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"A clear aerial view of Santiago Bernabéu Stadium in Madrid, home to Real Madrid.",Spain,Sunny,Afternoon,Summer,Sightseeing,Excitement,1220911
A vibrant photo of Camp Nou in Barcelona during a football match.,Spain,Clear,Evening,Fall,Sightseeing,Curiosity,1220911
A stunning view of Tower Bridge in London lit beautifully in the evening.,England,Cloudy,Evening,Spring,Sightseeing,Adventure,1220911
"The Brandenburg Gate in Berlin, a historic and iconic German monument.",Germany,Sunny,Morning,Summer,Sightseeing,Nostalgia,1220911
Beautiful houses of Santorini overlooking the blue sea.,Greece,Sunny,Afternoon,Summer,Relaxing,Romance,1220911
A busy aerial view of Shibuya Crossing in Tokyo at night.,Japan,Clear,Night,Fall,Sightseeing,Excitement,1220911
A dramatic view of the Burj Khalifa tower in Dubai.,UAE,Sunny,Afternoon,Winter,Sightseeing,Curiosity,1220911
"A low-angle shot of Petra's famous Al-Khazneh, carved into rock.",Jordan,Sunny,Morning,Spring,Sightseeing,Nostalgia,1220911
Aerial view of a Maldives island resort with bright turquoise water.,Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness,1220911
A classic view of the Leaning Tower of Pisa on a sunny day.,Italy,Sunny,Morning,Spring,Sightseeing,Curiosity,1220911
