Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion,student_id
"A dramatic view of the stone castle perched on its rocky hill under dark storm clouds, giving the scene a powerful, moody atmosphere.",Scotland,Rainy,Afternoon,Fall,Sightseeing,Melancholy ,1222640
"A peaceful lakeside village surrounded by misty mountains, colorful alpine houses, and calm reflective water creating a serene, storybook view.",Austria,Cloudy,Morning,Fall,Sightseeing,Nostalgia,1222640
"A vibrant green valley with a peaceful lakeside village, surrounded by steep forested mountains and traditional red-roofed houses.",Turkey,Sunny,Afternoon,Spring,Relaxing,Happiness,1222640
"A traditional Korean temple complex surrounded by colorful autumn trees, glowing softly under a warm sunset sky.",South Korea,Clear,Evening,Fall,Exploring,Adventure,1222640
"A brightly lit winter cityscape reflecting on a frozen lake, surrounded by snowy mountains and glowing evening lights.",Switzerland ,Snowy,Evening,Winter,Stargazing,Romance,1222640
"A colorful coastal town glowing under a vibrant sunset sky, with calm waters reflecting the lights of seaside buildings and boats.",Greece,Clear,Sunset,Summer,Exploring,Excitement ,1222640
A dramatic mountain landscape with sharp snow-capped peaks rising over a bright blue lake and rugged winding trails.,Chile,Snowy,Morning,Spring,Hiking,Adventure,1222640
"A giant stone hand sculpture rising from an endless desert landscape under a wide, textured blue sky.",Chile,Windy,Morning,Summer,Exploring,Curiosity,1222640
A charming riverside city decorated with glowing festive lights reflecting beautifully on the calm water under a dark night sky.,Netherlands ,Windy,Night,Winter,Strolling,Romance,1222640
"A hillside town filled with blue-painted houses glowing under soft evening light, surrounded by distant mountains and dramatic clouds.",Morocco,Cloudy,Morning,Spring,Relaxing,Nostalgia,1222640
