imageURL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://cdn.britannica.com/82/195482-050-2373E635/Amalfi-Italy.jpg,"a small town on top of a cliff with sea view, the place looks clam and the people seems kind",italy,sunny,afternoon,spring,eating,excitement
https://www.outlooktravelmag.com/media/south-africa-1-1582299337.profileImage.2x-scaled-webp.webp,"a town between a huge mountaine and ocean on the other side, looks like a good place",south africa,sunny,morning,summer,hiking,adventure
"https://res.cloudinary.com/aenetworks/image/upload/c_fill,ar_2,w_3840,h_1920,g_auto/dpr_auto/f_auto/q_auto:eco/v1/gettyimages-1390815938?_a=BAVAZGID0","buildings and some skyscrapers turned on with a mountiane in the background with snow on top, like the culture and game tournament",japan,not clear,evning,fall,relaxing,romance
https://pohcdn.com/sites/default/files/styles/paragraph__live_banner__lb_image__1880bp/public/live_banner/Sweden-1.jpg,"some house with mountain in the background and green aura lights in the sky, the aura lines in the sky is one of the best things in this world",sweden,no clear,evning ,winter,relaxing,Excitement
https://intwp.insurte.com/wp-content/uploads/2025/02/Heidelberg-Germany.webp,"a town with house and split with river and cant see the end of the town because of the fog, one of the best places if u like cars which I do",germany,cloudy,afternoon,winter,visiting car dealerships,Happiness
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9bprw-Kd46LCxt-3XWWGfLe_phMzXNWO4zQ&s,"4 pyramids 3 in the back and one small in front of them,  the last of the seven wonders worth a visit",eygpt,sunny,morning,spring,Sightseeing,Nostalgia
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSojue3TLjdQe0vaytwcHgCvSrm4M1oPjCYyg&s,"tow big building built with red stone with 1800 style, have some good places to visit and I think I will enjoy it",russia,cloudy,afternoon,fall,Sightseeing,Happiness
https://lp-cms-production.imgix.net/2025-03/shutterstock2237761883.jpg?auto=compress&format=auto&fit=crop&q=50&w=1200&h=800,"small town with snow over the house roofs, love the nature and the country have a lot of it",romania,snowy,evning,winter ,hiking,Excitement
https://www.renewablematter.eu/assets/Uploads/grande/envatoelements.jpg,"mill in the middle of field and a river running throw the mill, best place to forget everything and connect with nature",netherlands,cloudy,afternoon,fall,relaxing,adventure
https://www.ilxtravel.com/wp-content/uploads/2024/09/Eiffel-Tower-France.webp,"a tall tower in the shape of A, I have all my bestfriends in this place",france,sunny,evning,spring,Sightseeing,Romance
