Description,Country,Weather,TimeOfDay,Season,Activity,Mood,student_id
Santiago Bernab stadium showing the home of Real Madrid football club,Spain,Sunny,Afternoon,Summer,Sightseeing,Excitement,1220041
Eiffel Tower showing a famous landmark in Paris,France ,Sunny,Afternoon,Summer,Sightseeing,Excitement,1220041
Niagara Falls showing powerful natural waterfalls,USA,Cloudy,Afternoon,Summer,Sightseeing,Adventure,1220041
Mount Everest showing snowy mountains and high peaks,Nepal,Snowy,Morning,Winter,Hiking,Adventure,1220041
Burj Khalifa showing modern buildings in Dubai,UAE,Sunny,Afternoon,Summer,Sightseeing,Excitement,1220041
Maldives beach showing clear sea and island houses,Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness,1220041
Tokyo city showing tall buildings and city life,Japan,Sunny,Evening,Clear,Sightseeing,Excitement,1220041
Santorini buildings showing Greek islands and sea views,Greece,Sunny,Afternoon,Summer,Sightseeing,Romance,1220041
New York City and its famous Statue of Liberty,USA,Sunny,Afternoon,Summer,Sightseeing,Curiosity,1220041
London showing Big Ben and historic buildings,UK,Sunny,Afternoon,Fall,Sightseeing,Excitement,1220041
