,Description,Country,Weather,Time of Day,Season,Activity,student_id,Consistency_Label
0,"A clear image of the Dome of the Rock in Jerusalem, showcasing its iconic golden dome. It is one of the most important Islamic and historical landmarks in Palestine.",Palestine,Sunny,Afternoon,Summer,sightseeing,1161937,Consistent
1,"a clear image of the Ibrahimi Mosque (Cave of the Patriarchs) in Hebron, one of the oldest and most significant religious and historical sites in Palestine.",Palestine,Sunny,Morning,Spring,sightseeing,1161937,Consistent
2,"A clear image of the ancient ruins in Sebastia near Nablus, showing stone columns and archaeological remains from the Roman period under a bright blue sky.",Palestine,Sunny,Afternoon,Summer,sightseeing,1161937,Consistent
3,"A clear image of Mar Saba Monastery in Bethlehem, built dramatically along the cliffside of the desert valley, showcasing its ancient stone architecture.",Palestine,Sunny,Afternoon,Summer,sightseeing,1161937,Consistent
4,"A clear aerial view of Tell es-Sultan in Jericho, showing the archaeological mound, excavation areas, and surrounding desert landscape.",Palestine,Sunny,Morning,Spring,sightseeing,1161937,Consistent
5,"A night view of the Eiffel Tower illuminated in golden lights against a dark blue sky, highlighting its detailed iron structure from a low-angle perspective.",France,Not Clear,Afternoon,Not Clear,sightseeing,1161937,Contradictory
6,A bright and clear view of the Great Wall of China stretching across lush green mountains under a blue sky with scattered white clouds.,China,Sunny,Morning,Summer,hiking,1161937,Consistent
7,"A beautiful sunset view in Santorini, Greece, showing cliffside caf�s overlooking the sea and islands, with soft pastel colors in the sky.",Greece,Sunny,Evening,Summer,relaxing,1161937,Consistent
8,"A stunning nighttime panorama of New York City�s skyline, with illuminated skyscrapers reflecting beautifully on the water.",USA,Sunny,Evening,Winter,sightseeing,1161937,Consistent
9,"A bright and peaceful beach view in the Maldives, showing crystal-clear turquoise water, white sand, and lush tropical trees, with a wooden walkway leading to the island.",Maldives,Sunny,Afternoon,Summer,relaxing,1161937,Consistent
10,Walking through the endless vermilion torii gates of Fushimi Inari Shrine.,Japan,Sunny,Morning,Spring,hiking,1181804,Consistent
11,White buildings with blue domes overlooking the calm Aegean Sea.,Greece,Sunny,Afternoon,Summer,relaxing,1181804,Consistent
12,The ancient Incan citadel set high in the Andes Mountains.,Peru,Cloudy,Morning,Not Clear,sightseeing,1181804,Consistent
13,The turquoise waters of Moraine Lake surrounded by snowy peaks.,Canada,Sunny,Afternoon,Summer,hiking,1181804,Consistent
14,Elephants walking through the tall grass of the savanna.,Tanzania,Sunny,Afternoon,Fall,sightseeing,1181804,Consistent
15,The bright neon lights and crowds of Times Square.,USA,Not Clear,Evening,Winter,sightseeing,1181804,Contradictory
16,Vibrant coral reefs teeming with underwater life.,Australia,Sunny,Morning,Summer,water,1181804,Consistent
17,Green aurora borealis dancing over a snowy landscape.,Iceland,Snowy,Evening,Winter,relaxing,1181804,Consistent
18,The famous Treasury carved into the red sandstone rock face.,Jordan,Sunny,Afternoon,Spring,hiking,1181804,Consistent
19,Colorful houses stacked on the steep cliffs of Positano.,Italy,Sunny,Afternoon,Summer,relaxing,1181804,Consistent
20,"a small town on top of a cliff with sea view, the place looks clam and the people seems kind",italy,Sunny,Afternoon,Spring,other,1190408,Consistent
21,"a town between a huge mountaine and ocean on the other side, looks like a good place",south africa,Sunny,Morning,Summer,hiking,1190408,Consistent
22,"buildings and some skyscrapers turned on with a mountiane in the background with snow on top, like the culture and game tournament",japan,Not Clear,Evening,Fall,relaxing,1190408,Consistent
23,"some house with mountain in the background and green aura lights in the sky, the aura lines in the sky is one of the best things in this world",sweden,Not Clear,Evening,Winter,relaxing,1190408,Consistent
24,"a town with house and split with river and cant see the end of the town because of the fog, one of the best places if u like cars which I do",germany,Cloudy,Afternoon,Winter,sightseeing,1190408,Consistent
25,"4 pyramids 3 in the back and one small in front of them, the last of the seven wonders worth a visit",eygpt,Sunny,Morning,Spring,sightseeing,1190408,Consistent
26,"tow big building built with red stone with 1800 style, have some good places to visit and I think I will enjoy it",russia,Cloudy,Afternoon,Fall,sightseeing,1190408,Consistent
27,"small town with snow over the house roofs, love the nature and the country have a lot of it",romania,Snowy,Evening,Winter,hiking,1190408,Consistent
28,"mill in the middle of field and a river running throw the mill, best place to forget everything and connect with nature",netherlands,Cloudy,Afternoon,Fall,relaxing,1190408,Consistent
29,"a tall tower in the shape of A, I have all my bestfriends in this place",france,Sunny,Evening,Spring,sightseeing,1190408,Consistent
30,"""wide landscape shot showing the ruins surrounded by the mountains for one of the newest seven wonders of the world""",Peru,Sunny,Morning,Spring,sightseeing,1190855,Consistent
31,"""snowy lakeside village that brings inner peace to the visitor""",Austria,Cloudy,Afternoon,Winter,relaxing,1190855,Consistent
32,"""one of the modern seven wonders of the world, Christ the Redeemer overlooking to the beaches and the city under bright sun",Brazil,Sunny,Afternoon,Summer,sightseeing,1190855,Consistent
