Description,Country,Weather,Time of day,Season,Activity,Mood/Emotion,student_id
"A breathtaking aerial view of the Phi Phi Islands with emerald lagoons, high limestone cliffs, and bright turquoise waters. I chose this image because it perfectly captures the tropical beauty and dramatic landscapes Thailand is famous for.",Thailand,Sunny,Afternoon,Summer,Sightseeing,Adventure,1222018
"A charming view of Amsterdam’s canals with classic Dutch houses, bicycles lined along the bridge, and calm reflective water. I chose this image because it represents the peaceful charm and signature architecture of the city.",Netherlands,Sunny,Afternoon,Spring,Sightseeing,Happiness,1222018
"A vibrant view of the Obelisk of Buenos Aires surrounded by colorful city lights, busy streets, and a pink sunset sky. I chose this image because it captures the energetic atmosphere and iconic landmark of Argentina’s capital.",Argentina,Clear,Sunset,Autumn,City exploration,Vibrant,1222018
"A stunning view of Vienna featuring the colorful patterned roof of St. Stephen’s Cathedral glowing in the sunlight, overlooking the historic city center. I chose this image because it perfectly showcases Vienna’s unique blend of Gothic architecture and classic European elegance.",Austria,Clear,Sunrise,Spring,City exploration,Elegant ,1222018
"A breathtaking view of Cappadocia’s fairy-chimney rock formations, cave dwellings, and a blue-domed mosque glowing under warm sunset light. The image showcases the region’s one-of-a-kind geological structures and historic cave architecture.",Turkey,Clear,Sunset,Autumn,Sightseeing,Magical ,1222018
"A panoramic view of Cairo showcasing the iconic Mosque-Madrasa of Sultan Hassan, known for its massive domes and elegant minarets, contrasted against the busy modern city.",Egypt,Clear,Morning,Summer,Cultural tour,Historic,1222018
"A magical sunset over Santorini’s cliffside village of Oia, with glowing lights, white houses, and deep blue seas.",Greece,Clear,Sunset,Summer,Sightseeing,Romantic,1222018
"A breathtaking sunset over Cape Town’s Table Mountain, highlighting cliffs, greenery, and ocean views.",South Africa,Clear,Sunset,Summer,Hiking,Adventure,1222018
"A colorful, energetic night scene overlooking Gangnam with illuminated buildings and roads.",South Korea,Clear,Evening,Fall,Sightseeing,Excitement ,1222018
"Scenic view of Rio’s coastline, mountains, and the famous Christ the Redeemer statue.",Brazil,Cloudy,Morning,Summer,Sightseeing,Awe,1222018
