Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://images.pexels.com/photos/3254729/pexels-photo-3254729.jpeg,Edificio Metrópolis in Madrid — the iconic building at the corner of Calle Alcalá and Gran Vía — with its striking dome and ornate façade glowing softly against the city skyline. I chose this because the building is one of Madrid’s most emblematic landmarks and instantly recognizable: it represents both the historic charm and urban pulse of the city.,Spain,Cloudy,Evening,Not Clear,Relaxing,Curiosity
https://images.pexels.com/photos/1586298/pexels-photo-1586298.jpeg,A secluded house surrounded by Switzerland’s breathtaking nature. I chose this place because I’m deeply fond of the peaceful atmosphere and the stunning snow-capped mountains.,Switzerland,Sunny,Morning,Summer,Sightseeing,Happiness
https://images.pexels.com/photos/2087387/pexels-photo-2087387.jpeg,The Dome of the Rock in Palestine is one of the most iconic and historic landmarks in the world. I chose it because I see it as the most beautiful place on earth.,Palestine,Sunny,Morning,Summer,Sightseeing,Nostalgia
https://images.pexels.com/photos/2031706/pexels-photo-2031706.jpeg,"Boats Parked on River in Amsterdam ,i chose this place because it beatiful,clam, and perfect for walking around.",Netherlands,Cloudy,Evening,Spring,Relaxing,Romance
https://images.pexels.com/photos/460740/pexels-photo-460740.jpeg,"The Eiffel Tower in Paris, a famous landmark with beautiful views of the city. I chose it because I find it really charming.",France,Cloudy,Afternoon,Spring,Wandering,Happiness
https://images.pexels.com/photos/325193/pexels-photo-325193.jpeg,"Aerial View of City Lit Up at Night,Dubai ",United Arab Emirates,Cloudy,Evening,Summer,Wandering,Happiness
https://images.pexels.com/photos/77171/pexels-photo-77171.jpeg,"Big Ben in London, a well-known clock tower with a classic look. I chose it because I find it very beautiful and iconic.",United Kingdom,Cloudy,Evening,Not Clear,Sightseeing,Curiosity
https://images.pexels.com/photos/1427578/pexels-photo-1427578.jpeg,"Group Of People Walking On Bridge,i chose this place because it beatiful,clam, and perfect for walking around",United Kingdom,Cloudy,Afternoon,Not Clear,Relaxing,Happiness
https://images.pexels.com/photos/457878/pexels-photo-457878.jpeg,"Green Trees Near Seashore Under Blue Sky,i chose this place because it beautiful and wonderful",Maldives,Sunny,Afternoon,Summer,Relaxing,Happiness
https://cdn.britannica.com/94/148994-159-25B17024/Buckingham-Palace-Queen-Victoria-Memorial-London-statue.jpg,"Buckingham Palace façade and surrounding memorial statue — I chose it because it represents iconic royal history and classic European grandeur, which evokes awe and admiration for heritage.",United Kingdom,Sunny,Morning,Summer,Sightseeing,Nostalgia
