Description,Country,Weather,Time of Day,Season,Activity,Mood,student_id
Mount Everest snowy mountain landscape,Nepal,Cold / Clear,Daytime,Winter,Hiking,Majestic,1220458
Swiss snowy village with wooden houses and mountains,Switzerland,Snowy,Morning,Winter,Sightseeing,Calm,1220458
Motorboat in Nesso on Lake Como with colorful lakeside houses,Italy (Lake Como),Sunny,Afternoon,Summer,Boating,Peaceful,1220458
View of Haifa harbor from Bahai Gardens,Palestine,Clear,Daytime,Spring,Sightseeing,Relaxed,1220458
The Pyramids of Giza with a camel in the desert,Egypt,Sunny,Daytime,Summer,Tourism,Adventurous,1220458
Blue-and-white boats docked on a calm Austrian lake,Austria,Clear / Sunny,Daytime,Summer,Relaxing / Boating,Peaceful,1220458
Canal view in Venice with boats and historic buildings,Italy,Clear / Sunny,Daytime,Not Clear,Sightseeing / Boat ride,Romantic,1220458
Fan wearing red-and-blue FC Barcelona top raising hand in stadium crowd,Spain,Clear / Sunny,Daytime,Not Clear,Football fan / Cheering,Excitement / Passion,1220458
People exploring ancient ruins in Athens — a glimpse of Greece's historic past,Greece,Clear / Sunny,Daytime,Not Clear,Sightseeing / Exploring ruins,Curiosity / Awe,1220458
Crowd around the Kaaba at sunset in Mecca — sacred pilgrimage site with many pilgrims gathered in devotion,Saudi Arabia,Clear / Sunny,Evening,Not Clear,Pilgrimage / Spiritual visit,Reverence / Awe,1220458
