Image URL,Description,Country,Weather,Time of Day,Season,Activity,Mood/Emotion
https://images.unsplash.com/photo-1605617697069-959ec9dfc9de?fm=jpg&ixid=M3wxMjA3fDB8MHxzZWFyY2h8MTF8fHRpbWVzJTIwc3F1YXJlfGVufDB8fDB8fHww&ixlib=rb-4.1.0&q=60&w=3000,"A vibrant street view of Times Square filled with bright billboards, yellow taxis, and people walking along the sidewalks.",United States,Sunny,Morning,Winter,"City Exploring",Excitement
https://www.centralpark.com/downloads/3082/download/nature-civilization.jpe?cb=783665e2e86dabe11fdbe675f24e26c4,"Autumn colors in Central Park with a lake and NYC skyscrapers rising in the background.",United States,Sunny,Afternoon,Fall,"Relaxing in Nature",Nostalgia
https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Statue_of_Liberty%2C_NY.jpg/1024px-Statue_of_Liberty%2C_NY.jpg,"A clear view of the Statue of Liberty standing tall on Liberty Island.",United States,Sunny,Afternoon,Fall,"Heritage Sightseeing",Inspiration
https://muralsyourway.vtexassets.com/arquivos/ids/234586/Brooklyn-Bridge-and-NYC-Skyline-at-Night-Wall-Mural.jpg?v=638165374098470000,"A nighttime view of the Brooklyn Bridge with the NYC skyline glowing behind it.",United States,Not Clear,Evening,Not Clear,"Photography",Romance
https://images.stockcake.com/public/4/8/2/4822f9d9-0b3d-4b3a-b9b0-f3d3924170e5_large/snowy-cityscape-view-stockcake.jpg,"A snowy winter scene with the Empire State Building glowing as snow falls over NYC streets.",United States,Snowy,Evening,Winter,"Winter Walking",Nostalgia
https://assets.goal.com/images/v3/bltf56a870d0233b058/new_santiago_bernabeu.jpg?auto=webp&format=pjpg&quality=60&width=3840,"A modern aerial view of the Santiago Bernabéu Stadium at night, illuminated by bright lights.",Spain,Not Clear,Night,Not Clear,"Attending a Sports Venue",Excitement
https://www.patrimonionacional.es/sites/default/files/styles/full/public/2020-05/1-palacio_real_cabecera_.jpg?itok=7fIVwkEj,"A majestic view of the Royal Palace of Madrid framed by tall trees and gardens.",Spain,Sunny,Afternoon,spring,"Historical Touring",Curiosity
https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Plaza_Mayor%2C_Madrid.jpg/1280px-Plaza_Mayor%2C_Madrid.jpg,"Plaza Mayor's iconic red buildings and open square with people casually walking.",Spain,Cloudy,Afternoon,Not Clear,"Strolling the Plaza",Curiosity
https://us.images.westend61.de/0001810788pw/spain-madrid-exterior-of-almudena-cathedral-KEBF02659.jpg,"A peaceful exterior view of Almudena Cathedral with surrounding greenery.",Spain,Sunny,Afternoon,Not Clear,"Cultural Exploration",Calmness
https://upload.wikimedia.org/wikipedia/commons/a/a0/Palacio_de_Cristal%2C_Retiro%2C_Madrid.jpg,"The Crystal Palace in El Retiro Park surrounded by autumn trees and a lake with a fountain.",Spain,Sunny,Afternoon,Fall,"Park Relaxation",Happiness
